Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,5,10,0.07374663778185514,0,10,0.1076
5,ring,ldp,5,10,0.07374663778185514,0,10,0.5441
10,ring,ldp,5,10,0.07374663778185514,0,10,0.7161
15,ring,ldp,5,10,0.07374663778185514,0,10,0.7458
20,ring,ldp,5,10,0.07374663778185514,0,10,0.766
25,ring,ldp,5,10,0.07374663778185514,0,10,0.8011
30,ring,ldp,5,10,0.07374663778185514,0,10,0.7995
35,ring,ldp,5,10,0.07374663778185514,0,10,0.8103
40,ring,ldp,5,10,0.07374663778185514,0,10,0.8186
45,ring,ldp,5,10,0.07374663778185514,0,10,0.8214
50,ring,ldp,5,10,0.07374663778185514,0,10,0.7935
55,ring,ldp,5,10,0.07374663778185514,0,10,0.8147
60,ring,ldp,5,10,0.07374663778185514,0,10,0.8288
65,ring,ldp,5,10,0.07374663778185514,0,10,0.8332
70,ring,ldp,5,10,0.07374663778185514,0,10,0.8416
75,ring,ldp,5,10,0.07374663778185514,0,10,0.8317
80,ring,ldp,5,10,0.07374663778185514,0,10,0.8382
85,ring,ldp,5,10,0.07374663778185514,0,10,0.8465
90,ring,ldp,5,10,0.07374663778185514,0,10,0.8433
95,ring,ldp,5,10,0.07374663778185514,0,10,0.8453
100,ring,ldp,5,10,0.07374663778185514,0,10,0.85
105,ring,ldp,5,10,0.07374663778185514,0,10,0.8398
110,ring,ldp,5,10,0.07374663778185514,0,10,0.8479
115,ring,ldp,5,10,0.07374663778185514,0,10,0.8479
120,ring,ldp,5,10,0.07374663778185514,0,10,0.8476
125,ring,ldp,5,10,0.07374663778185514,0,10,0.8454
130,ring,ldp,5,10,0.07374663778185514,0,10,0.8504
135,ring,ldp,5,10,0.07374663778185514,0,10,0.8421
140,ring,ldp,5,10,0.07374663778185514,0,10,0.8465
145,ring,ldp,5,10,0.07374663778185514,0,10,0.8555
150,ring,ldp,5,10,0.07374663778185514,0,10,0.8516
155,ring,ldp,5,10,0.07374663778185514,0,10,0.8458
160,ring,ldp,5,10,0.07374663778185514,0,10,0.8549
165,ring,ldp,5,10,0.07374663778185514,0,10,0.8513
170,ring,ldp,5,10,0.07374663778185514,0,10,0.8508
175,ring,ldp,5,10,0.07374663778185514,0,10,0.85
180,ring,ldp,5,10,0.07374663778185514,0,10,0.8481
185,ring,ldp,5,10,0.07374663778185514,0,10,0.8465
190,ring,ldp,5,10,0.07374663778185514,0,10,0.853
