Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.5,10,0.06588543618072275,0,15,0.1076
5,ring,ldp,0.5,10,0.06588543618072275,0,15,0.6426
10,ring,ldp,0.5,10,0.06588543618072275,0,15,0.765
15,ring,ldp,0.5,10,0.06588543618072275,0,15,0.7836
20,ring,ldp,0.5,10,0.06588543618072275,0,15,0.7979
25,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8342
30,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8346
35,ring,ldp,0.5,10,0.06588543618072275,0,15,0.851
40,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8534
45,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8546
50,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8463
55,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8562
60,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8634
65,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8677
70,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8701
75,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8718
80,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8711
85,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8788
90,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8762
95,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8783
100,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8784
105,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8817
110,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8804
115,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8831
120,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8808
125,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8832
130,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8832
135,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8847
140,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8798
145,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8835
150,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8841
155,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8835
160,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8853
165,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8832
170,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8863
175,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8857
180,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8832
185,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8847
190,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8861
195,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8863
200,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8909
205,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8911
210,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8901
215,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8923
220,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8906
225,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8885
230,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8901
235,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8928
240,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8932
245,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8903
250,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8922
255,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8901
260,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8872
265,ring,ldp,0.5,10,0.06588543618072275,0,15,0.886
270,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8871
275,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8891
280,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8884
285,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8866
290,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8873
295,ring,ldp,0.5,10,0.06588543618072275,0,15,0.89
300,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8915
305,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8919
310,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8871
315,ring,ldp,0.5,10,0.06588543618072275,0,15,0.8924
