Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.1076
5,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.4768
10,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.5281
15,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.5564
20,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.5815
25,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6078
30,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6321
35,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6441
40,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6561
45,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6668
50,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6719
55,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6805
60,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6812
65,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6858
70,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6908
75,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6953
80,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.6981
85,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7018
90,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7032
95,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7075
100,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7147
105,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7188
110,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7206
115,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7239
120,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7218
125,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.724
130,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7232
135,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7267
140,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7299
145,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7316
150,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7382
155,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7416
160,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7488
165,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7525
170,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7523
175,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7524
180,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7549
185,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7578
190,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7606
195,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.76
200,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7616
205,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7683
210,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7704
215,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7723
220,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7752
225,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7784
230,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7831
235,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7863
240,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7895
245,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7921
250,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7902
255,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.794
260,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7951
265,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7947
270,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7981
275,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7993
280,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8006
285,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7985
290,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.7997
295,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8017
300,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8049
305,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8076
310,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8092
315,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8111
320,ring,ldp,1,0.1,0.0009645953393959156,0,3,0.8106
