Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1076
5,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1119
10,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1131
15,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1137
20,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1143
25,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1149
30,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1158
35,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1173
40,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1184
45,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1194
50,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1202
55,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1216
60,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1225
65,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1231
70,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1249
75,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1259
80,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1273
85,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1287
90,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1299
95,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1312
100,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1323
105,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1337
110,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1344
115,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1356
120,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1377
125,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1385
130,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.14
135,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1408
140,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.142
145,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1426
150,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1435
155,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1451
160,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1459
165,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1465
170,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1473
175,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1484
180,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1491
185,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1498
190,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1509
195,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1523
200,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.154
205,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1555
210,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1569
215,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.158
220,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.159
225,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1599
230,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1616
235,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1628
240,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1639
245,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1651
250,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1665
255,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1677
260,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1697
265,centralized,cdp,0.1,0.01,3.363158170278268e-05,0,0.1,0.1712
