Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.1076
5,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.2042
10,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.2368
15,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.2697
20,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.3008
25,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.3294
30,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.3537
35,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.3786
40,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.3985
45,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.4213
50,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.4431
55,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.4594
60,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.4758
65,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.4912
70,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5058
75,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5174
80,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5271
85,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5348
90,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5441
95,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5532
100,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5625
105,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5698
110,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5774
115,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5846
120,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5888
125,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5938
130,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.5978
135,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6036
140,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6088
145,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6119
150,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6165
155,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6183
160,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6229
165,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.628
170,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6316
175,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.634
180,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6371
185,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6401
190,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6431
195,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6439
200,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6461
205,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6482
210,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6499
215,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6525
220,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6549
225,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6557
230,centralized,cdp,0.005,4.0,0.011749353712852312,0,0.5,0.6591
