Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.1076
5,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.764
10,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8012
15,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.829
20,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.842
25,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8539
30,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8675
35,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8704
40,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8734
45,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8769
50,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8783
55,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8816
60,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8842
65,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.883
70,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8858
75,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8882
80,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8883
85,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8899
90,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8894
95,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8922
100,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8937
105,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8939
110,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.894
115,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8954
120,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8954
125,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8952
130,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8967
135,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8978
140,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8988
145,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8994
150,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.8996
155,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9007
160,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9007
165,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9005
170,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9019
175,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9012
180,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9004
185,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9016
190,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9027
195,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9018
200,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9034
205,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9026
210,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9047
215,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9037
220,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9053
225,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9059
230,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9058
235,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.906
240,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9052
245,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9053
250,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.906
255,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9067
260,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9059
265,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9065
270,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9076
275,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9078
280,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.908
285,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.908
290,centralized,cdp,0.1,10,0.02937338428213078,0,0.5,0.9074
