Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.1076
5,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.5838
10,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.7235
15,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.7544
20,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.7981
25,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.821
30,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8679
35,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8789
40,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8816
45,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8812
50,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8875
55,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8908
60,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8921
65,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.899
70,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.8989
75,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9024
80,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9024
85,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9038
90,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9038
95,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9089
100,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9088
105,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9089
110,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9099
115,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.91
120,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9095
125,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9094
130,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9112
135,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9121
140,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.914
145,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9134
150,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.913
155,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9159
160,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9163
165,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9157
170,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9164
175,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9168
180,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9169
185,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9169
190,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9168
195,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9186
200,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9193
205,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9179
210,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9202
215,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9183
220,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9189
225,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9191
230,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.919
235,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9197
240,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.92
245,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9172
250,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9205
255,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9197
260,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.92
265,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9193
270,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9182
275,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9195
280,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9192
285,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9213
290,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.919
295,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9204
300,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9185
305,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9219
310,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9196
315,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
320,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9229
325,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.922
330,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9229
335,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9217
340,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9218
345,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9214
350,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9227
355,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
360,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9217
365,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9234
370,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9222
375,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9225
380,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
385,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9228
390,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9227
395,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9224
400,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.923
405,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9212
410,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9215
415,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9205
420,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9201
425,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9214
430,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9204
435,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9221
440,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9228
445,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.922
450,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9225
455,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9213
460,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9216
465,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9209
470,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9226
475,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9217
480,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.922
485,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9227
490,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
495,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9215
500,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9224
505,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9216
510,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9226
515,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9236
520,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
525,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9227
530,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.923
535,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.923
540,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
545,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9239
550,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
555,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
560,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9235
565,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
570,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9233
575,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
580,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9237
585,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9218
590,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
595,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9226
600,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9216
605,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.923
610,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9239
615,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9232
620,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9242
625,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9236
630,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9238
635,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9241
640,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9242
645,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9236
650,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9238
655,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9254
660,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9241
665,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9245
670,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9223
675,centralized,cdp,5,1.0,0.0029373384282130786,0,0.5,0.9241
