Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.1076
5,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.6827
10,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.7473
15,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.7804
20,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8021
25,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8181
30,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.835
35,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8412
40,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8499
45,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8521
50,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8577
55,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8621
60,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8659
65,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8678
70,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8691
75,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.873
80,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8746
85,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8779
90,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.878
95,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8811
100,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8821
105,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8829
110,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8834
115,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8871
120,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8861
125,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8845
130,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8861
135,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.888
140,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8896
145,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8895
150,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8891
155,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8917
160,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8906
165,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8914
170,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8919
175,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8931
180,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8924
185,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8941
190,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8925
195,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8937
200,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8941
205,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8947
210,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8961
215,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8965
220,centralized,cdp,0.05,10,0.0177837061947135,0,10,0.8971
