Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.1076
5,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.6314
10,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.6833
15,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7042
20,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7232
25,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7436
30,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7563
35,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7686
40,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7813
45,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.7891
50,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8048
55,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8143
60,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8197
65,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8226
70,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8275
75,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8372
80,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8434
85,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.852
90,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8527
95,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8564
100,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8616
105,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8622
110,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8632
115,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8672
120,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8693
125,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.868
130,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.87
135,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8715
140,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8735
145,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8742
150,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8764
155,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8787
160,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8797
165,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8801
170,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8819
175,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8831
180,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8833
185,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.884
190,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8834
195,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8851
200,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8848
205,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8868
210,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8873
215,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.888
220,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8883
225,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8893
230,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8896
235,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8899
240,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8902
245,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.892
250,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8913
255,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8917
260,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.892
265,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8928
270,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8931
275,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8933
280,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8933
285,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8931
290,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8946
295,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.894
300,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8947
305,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8953
310,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8949
315,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8948
320,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8951
325,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8956
330,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.897
335,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8959
340,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.896
345,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8962
350,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8966
355,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8969
360,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8979
365,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8986
370,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8978
375,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8982
380,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8983
385,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8978
390,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.898
395,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8987
400,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.898
405,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8982
410,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8982
415,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8985
420,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8996
425,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8994
430,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8994
435,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8998
440,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9012
445,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8996
450,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9
455,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8999
460,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.8998
465,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9011
470,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9005
475,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9011
480,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9012
485,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9011
490,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9009
495,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9018
500,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9016
505,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9021
510,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.902
515,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9022
520,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9023
525,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9024
530,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.902
535,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9026
540,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9027
545,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9021
550,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9026
555,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9029
560,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9027
565,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9024
570,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9032
575,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9034
580,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9032
585,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9038
590,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9034
595,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9051
600,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9037
605,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9049
610,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9049
615,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9047
620,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9047
625,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9053
630,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9047
635,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9057
640,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9053
645,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9054
650,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9049
655,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9056
660,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9048
665,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9061
670,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9054
675,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.906
680,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9058
685,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9059
690,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9062
695,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9061
700,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9064
705,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9062
710,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9064
715,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9065
720,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9066
725,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9065
730,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9072
735,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.907
740,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9075
745,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9072
750,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9068
755,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9071
760,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.907
765,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.907
770,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9074
775,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9071
780,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9074
785,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9074
790,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9078
795,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9077
800,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9078
805,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9074
810,centralized,cdp,5,0.1,0.00017783706194713497,0,10,0.9074
