,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.00015780101965398152,0,1000,0.6656
1,centralized,0.05,1.0,0.0015780101965398154,0,1000,0.8679
2,centralized,0.05,10.0,0.015780101965398155,0,1000,0.9137
3,centralized,0.1,0.1,0.00015780101965398152,0,1000,0.7088
4,centralized,0.1,1.0,0.0015780101965398154,0,1000,0.8894
5,centralized,0.1,10.0,0.015780101965398155,0,1000,0.9228
6,centralized,0.5,0.1,0.00015780101965398152,0,1000,0.854
7,centralized,0.5,1.0,0.0015780101965398154,0,1000,0.9124
8,centralized,0.5,10.0,0.015780101965398155,0,1000,0.9323
9,centralized,1.0,0.1,0.00015780101965398152,0,1000,0.8856
10,centralized,1.0,1.0,0.0015780101965398154,0,1000,0.9218
11,centralized,1.0,10.0,0.015780101965398155,0,1000,0.9242
12,centralized,5.0,0.1,0.00015780101965398152,0,1000,0.9111
13,centralized,5.0,1.0,0.0015780101965398154,0,1000,0.9344
14,centralized,5.0,10.0,0.015780101965398155,0,1000,0.895
