Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1076
5,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1275
10,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1344
15,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1407
20,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1464
25,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1516
30,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1576
35,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1642
40,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1701
45,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1761
50,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1834
55,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1909
60,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.1984
65,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2067
70,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2129
75,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2214
80,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2288
85,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2364
90,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.243
95,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2525
100,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2593
105,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2677
110,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2774
115,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2846
120,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.2944
125,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3016
130,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.308
135,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3151
140,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3227
145,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3304
150,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3375
155,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3445
160,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3506
165,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3567
170,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3633
175,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3685
180,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3742
185,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3799
190,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3848
195,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.391
200,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.3955
205,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4008
210,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4061
215,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4112
220,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4174
225,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4226
230,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.428
235,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4325
240,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.437
245,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4425
250,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4477
255,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4528
260,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4572
265,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4604
270,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4645
275,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4685
280,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.473
285,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4777
290,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4811
295,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4854
300,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4888
305,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4916
310,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4958
315,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.4994
320,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5029
325,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5064
330,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5099
335,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5129
340,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5152
345,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.518
350,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5199
355,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5224
360,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5243
365,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5271
370,centralized,cdp,0.05,0.1,0.0002192182028248947,0,5,0.5308
