Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,10,0.021921820282489474,0,5,0.1076
5,centralized,cdp,1,10,0.021921820282489474,0,5,0.563
10,centralized,cdp,1,10,0.021921820282489474,0,5,0.7055
15,centralized,cdp,1,10,0.021921820282489474,0,5,0.8159
20,centralized,cdp,1,10,0.021921820282489474,0,5,0.8463
25,centralized,cdp,1,10,0.021921820282489474,0,5,0.7289
30,centralized,cdp,1,10,0.021921820282489474,0,5,0.8163
35,centralized,cdp,1,10,0.021921820282489474,0,5,0.8278
40,centralized,cdp,1,10,0.021921820282489474,0,5,0.8734
45,centralized,cdp,1,10,0.021921820282489474,0,5,0.8728
50,centralized,cdp,1,10,0.021921820282489474,0,5,0.8791
55,centralized,cdp,1,10,0.021921820282489474,0,5,0.8719
60,centralized,cdp,1,10,0.021921820282489474,0,5,0.8824
65,centralized,cdp,1,10,0.021921820282489474,0,5,0.8863
70,centralized,cdp,1,10,0.021921820282489474,0,5,0.8786
75,centralized,cdp,1,10,0.021921820282489474,0,5,0.8846
80,centralized,cdp,1,10,0.021921820282489474,0,5,0.8857
85,centralized,cdp,1,10,0.021921820282489474,0,5,0.8866
90,centralized,cdp,1,10,0.021921820282489474,0,5,0.8952
95,centralized,cdp,1,10,0.021921820282489474,0,5,0.8934
100,centralized,cdp,1,10,0.021921820282489474,0,5,0.9004
105,centralized,cdp,1,10,0.021921820282489474,0,5,0.8969
110,centralized,cdp,1,10,0.021921820282489474,0,5,0.8994
115,centralized,cdp,1,10,0.021921820282489474,0,5,0.896
120,centralized,cdp,1,10,0.021921820282489474,0,5,0.8966
125,centralized,cdp,1,10,0.021921820282489474,0,5,0.8944
130,centralized,cdp,1,10,0.021921820282489474,0,5,0.9012
135,centralized,cdp,1,10,0.021921820282489474,0,5,0.9003
140,centralized,cdp,1,10,0.021921820282489474,0,5,0.9046
145,centralized,cdp,1,10,0.021921820282489474,0,5,0.903
150,centralized,cdp,1,10,0.021921820282489474,0,5,0.9008
