Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.1076
5,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.153
10,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.1653
15,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.1768
20,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.191
25,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2046
30,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2193
35,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2382
40,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2516
45,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2677
50,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2846
55,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.2998
60,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3144
65,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3292
70,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3418
75,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.355
80,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3662
85,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3776
90,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3886
95,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.3991
100,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4099
105,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4199
110,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4306
115,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4413
120,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4497
125,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4593
130,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4674
135,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.474
140,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4823
145,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.489
150,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.4961
155,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5043
160,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5107
165,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5168
170,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5213
175,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5272
180,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5332
185,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5377
190,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5427
195,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5473
200,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5504
205,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5545
210,grid,corr,0.005,2.0,0.0155555555555555,0.0126773547094188,0.1,0.5593
