Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.1076
5,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.6243
10,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.7497
15,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.7649
20,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.7859
25,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8248
30,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8486
35,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8662
40,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8633
45,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8671
50,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8761
55,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8808
60,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8813
65,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8867
70,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8902
75,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.894
80,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8926
85,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8924
90,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8917
95,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8971
100,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8977
105,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8985
110,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9
115,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9011
120,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.8999
125,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9012
130,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9012
135,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9028
140,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9016
145,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9033
150,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.902
155,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9046
160,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9045
165,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.904
170,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9043
175,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9069
180,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.905
185,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9063
190,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9054
195,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9072
200,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9084
205,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9072
210,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9084
215,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9088
220,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9075
225,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9078
230,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9088
235,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9092
240,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9099
245,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9078
250,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9095
255,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9093
260,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9089
265,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9083
270,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9075
275,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.909
280,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9068
285,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9109
290,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9082
295,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9092
300,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9106
305,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9117
310,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.91
315,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9123
320,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9125
325,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9132
330,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9125
335,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9125
340,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.9113
345,grid,corr,5,1.0,0.005,0.0068977955911823,0.5,0.912
