Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.1076
5,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.4596
10,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.6854
15,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.7311
20,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.793
25,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8154
30,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8127
35,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8217
40,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.824
45,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.826
50,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8324
55,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8307
60,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8428
65,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8478
70,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8481
75,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8458
80,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8569
85,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8572
90,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8603
95,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8626
100,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8633
105,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.859
110,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8587
115,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8629
120,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8583
125,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8612
130,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8576
135,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.847
140,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8539
145,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8536
150,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8616
155,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8547
160,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8632
165,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8635
170,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8666
175,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8524
180,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.862
185,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.857
190,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8644
195,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8641
200,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8687
205,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8685
210,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.866
215,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8645
220,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8673
225,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8582
230,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8663
235,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8707
240,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.874
245,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8678
250,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8651
255,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8655
260,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8593
265,grid,corr,5,10,0.05,0.0689779559118236,0.5,0.8621
