Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.1076
5,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.3649
10,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.4178
15,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.4616
20,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.4944
25,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.5202
30,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.5486
35,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.5665
40,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.584
45,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.5977
50,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6092
55,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6206
60,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6237
65,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6315
70,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6389
75,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6453
80,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6492
85,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6554
90,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6577
95,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6614
100,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6685
105,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6713
110,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6738
115,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6766
120,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.678
125,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6806
130,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6819
135,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6838
140,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6853
145,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6877
150,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.6912
155,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.693
160,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.698
165,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7036
170,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7023
175,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7022
180,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7043
185,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7067
190,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7085
195,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7088
200,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7084
205,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7108
210,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7128
215,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7144
220,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7149
225,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7168
230,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7193
235,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7216
240,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7236
245,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7262
250,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7251
255,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7262
260,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7274
265,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7272
270,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7289
275,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7293
280,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7289
285,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7299
290,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7306
295,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7328
300,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7356
305,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7363
310,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7382
315,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7398
320,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7415
325,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7424
330,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7444
335,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7462
340,grid,corr,0.5,0.1,0.0006938775510204,0.0004769539078156,1,0.7464
