Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.1076
5,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.7129
10,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.7647
15,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.7882
20,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8128
25,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8285
30,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8461
35,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8506
40,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8558
45,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8614
50,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8674
55,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8741
60,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8781
65,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8775
70,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8801
75,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8822
80,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.884
85,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8869
90,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8863
95,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8896
100,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8898
105,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8908
110,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8902
115,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8915
120,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8937
125,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8923
130,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.894
135,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.895
140,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8964
145,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8958
150,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8958
155,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8975
160,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8967
165,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.897
170,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.898
175,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8993
180,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.899
185,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.9001
190,grid,corr,1,1.0,0.005,0.0047695390781563,3,0.8989
