Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.1076
5,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.5857
10,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.7446
15,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8034
20,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.7817
25,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8303
30,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8565
35,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8745
40,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8775
45,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8788
50,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8816
55,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8883
60,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8873
65,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8926
70,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8962
75,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9001
80,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.8983
85,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9014
90,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9002
95,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.905
100,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9051
105,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9059
110,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9077
115,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9068
120,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9044
125,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9049
130,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.907
135,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9091
140,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9079
145,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9093
150,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.91
155,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9116
160,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9117
165,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9138
170,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9135
175,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.914
180,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9124
185,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9123
190,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.913
195,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9136
200,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.914
205,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.914
210,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9152
215,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9151
220,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9165
225,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9154
230,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9142
235,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9147
240,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.917
245,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.916
250,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9169
255,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9158
260,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9177
265,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9165
270,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9165
275,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9157
280,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9158
285,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9174
290,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9158
295,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9175
300,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9167
305,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.918
310,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9171
315,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9194
320,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9197
325,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9199
330,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9196
335,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.919
340,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9192
345,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9182
350,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9186
355,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.921
360,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.919
365,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.92
370,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9197
375,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9184
380,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9206
385,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9185
390,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9199
395,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9189
400,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9191
405,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.918
410,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9181
415,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9165
420,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9176
425,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9181
430,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9174
435,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9183
440,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9194
445,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9196
450,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9189
455,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.918
460,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9184
465,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.919
470,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9205
475,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9192
480,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9187
485,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9213
490,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9195
495,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9185
500,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9189
505,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.919
510,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9208
515,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9208
520,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.921
525,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9193
530,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9203
535,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9213
540,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.92
545,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9203
550,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9205
555,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9216
560,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9208
565,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9196
570,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9201
575,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9189
580,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9184
585,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9196
590,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9186
595,grid,corr,0.5,10,0.030204081632653,0.063567134268537,5,0.9204
