Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.1076
5,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.7246
10,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.7716
15,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.7986
20,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8179
25,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8334
30,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8442
35,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8503
40,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8584
45,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8594
50,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8646
55,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8669
60,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8727
65,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8719
70,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8752
75,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.877
80,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8789
85,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8784
90,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.879
95,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8812
100,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8829
105,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8848
110,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8857
115,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8882
120,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8879
125,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8866
130,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8882
135,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8884
140,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8886
145,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8916
150,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8897
155,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8916
160,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.891
165,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.891
170,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8931
175,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8932
180,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8929
185,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8933
190,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8918
195,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8932
200,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8937
205,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8917
210,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.894
215,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8936
220,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8939
225,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8949
230,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8959
235,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8956
240,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8962
245,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8956
250,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8959
255,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8944
260,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8971
265,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8978
270,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8978
275,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8978
280,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8977
285,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8965
290,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8986
295,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8992
300,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8987
305,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8996
310,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8991
315,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9006
320,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9004
325,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9008
330,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.901
335,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9015
340,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9016
345,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.902
350,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9029
355,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9023
360,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9015
365,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9024
370,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9011
375,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
380,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9007
385,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9018
390,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9028
395,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9016
400,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9027
405,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9028
410,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9043
415,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9028
420,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9021
425,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9018
430,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9021
435,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9007
440,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9014
445,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.902
450,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
455,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
460,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9035
465,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9012
470,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9027
475,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9048
480,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9029
485,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
490,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9039
495,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.903
500,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9033
505,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9044
510,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9051
515,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9062
520,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9065
525,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9055
530,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.905
535,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9058
540,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9044
545,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9045
550,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9047
555,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9043
560,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9037
565,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.905
570,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9021
575,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9033
580,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9033
585,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9039
590,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.903
595,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9009
600,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.901
605,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.901
610,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.902
615,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9013
620,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9008
625,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9017
630,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9021
635,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9004
640,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.902
645,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9009
650,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8998
655,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.8997
660,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9004
665,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9018
670,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9011
675,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9033
680,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
685,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9035
690,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9024
695,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9032
700,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9023
705,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9026
710,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9032
715,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9046
720,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9027
725,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9035
730,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9028
735,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9009
740,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9024
745,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9031
750,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9032
755,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9022
760,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9043
765,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9032
770,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.903
775,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9043
780,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9036
785,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9046
790,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9052
795,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9053
800,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9045
805,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9049
810,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9057
815,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9059
820,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9055
825,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9031
830,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9041
835,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9039
840,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9036
845,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9034
850,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9032
855,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9042
860,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9048
865,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9059
870,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9067
875,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9067
880,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9064
885,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9062
890,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9062
895,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9068
900,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9069
905,ring,corr,0.1,10,0.1,0.047875751503006,0.5,0.9066
