Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.1076
5,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.7149
10,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.7683
15,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.7914
20,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8171
25,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8321
30,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8488
35,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8526
40,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8593
45,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8641
50,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8696
55,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8749
60,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8779
65,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8792
70,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8817
75,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8843
80,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8844
85,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8875
90,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.888
95,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8894
100,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8916
105,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8908
110,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8897
115,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8925
120,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8933
125,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8935
130,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8947
135,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8953
140,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8971
145,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8976
150,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8961
155,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8984
160,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8985
165,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8989
170,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8991
175,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8993
180,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8996
185,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9
190,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9009
195,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9004
200,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9006
205,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.8998
210,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9013
215,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.902
220,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9018
225,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9026
230,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9021
235,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9036
240,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9047
245,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9044
250,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9038
255,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9045
260,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.904
265,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9046
270,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9049
275,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9065
280,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9071
285,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9069
290,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9065
295,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9055
300,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9066
305,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9072
310,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9075
315,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.908
320,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9081
325,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9091
330,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9084
335,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9085
340,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9084
345,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9095
350,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9089
355,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9082
360,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9093
365,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9096
370,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9096
375,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9087
380,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9098
385,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9104
390,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9091
395,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9099
400,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.911
405,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9105
410,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9108
415,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9106
420,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9106
425,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9108
430,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9103
435,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9118
440,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9122
445,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9113
450,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9119
455,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9123
460,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9129
465,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9117
470,ring,corr,1,1.0,0.0030204081632653,0.006880761523046,15,0.9129
