,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0003020408163265,0.0006880761523046,1000,0.6655
1,ring,0.05,1.0,0.0030204081632653,0.006880761523046,1000,0.8679
2,ring,0.05,10.0,0.030204081632653,0.0688076152304609,1000,0.9126
3,ring,0.1,0.1,0.0003020408163265,0.0006880761523046,1000,0.709
4,ring,0.1,1.0,0.0030204081632653,0.006880761523046,1000,0.8899
5,ring,0.1,10.0,0.030204081632653,0.0688076152304609,1000,0.9214
6,ring,0.5,0.1,0.0003020408163265,0.0006880761523046,1000,0.8537
7,ring,0.5,1.0,0.0030204081632653,0.006880761523046,1000,0.9123
8,ring,0.5,10.0,0.030204081632653,0.0688076152304609,1000,0.9231
9,ring,1.0,0.1,0.0003020408163265,0.0006880761523046,1000,0.8862
10,ring,1.0,1.0,0.0030204081632653,0.006880761523046,1000,0.9206
11,ring,1.0,10.0,0.030204081632653,0.0688076152304609,1000,0.9121
12,ring,5.0,0.1,0.0003020408163265,0.0006880761523046,1000,0.9101
13,ring,5.0,1.0,0.0030204081632653,0.006880761523046,1000,0.9269
14,ring,5.0,10.0,0.030204081632653,0.0688076152304609,1000,0.8997
