Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.1076
5,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.153
10,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.165
15,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.176
20,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.1912
25,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2048
30,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2195
35,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2375
40,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2519
45,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2679
50,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.2858
55,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3008
60,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3148
65,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3302
70,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3423
75,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3562
80,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3664
85,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3778
90,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.39
95,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.3992
100,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.4103
105,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.4207
110,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.4313
115,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.4419
120,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.4522
125,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.46
130,ring,corr,0.1,0.1,0.0005,0.0008935871743486,3,0.467
