Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.1076
5,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.7565
10,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.7941
15,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8209
20,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8355
25,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8484
30,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8627
35,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.865
40,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8701
45,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8732
50,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8754
55,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8791
60,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8815
65,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.882
70,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8846
75,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8874
80,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8865
85,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8882
90,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8879
95,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8906
100,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8911
105,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8914
110,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8921
115,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8933
120,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8937
125,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8942
130,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8966
135,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8961
140,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.897
145,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8968
150,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8977
155,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8995
160,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8985
165,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8991
170,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8994
175,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8996
180,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8975
185,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8992
190,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8991
195,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.8999
200,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9004
205,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9012
210,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9016
215,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9012
220,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9029
225,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9031
230,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9041
235,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9044
240,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.904
245,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9032
250,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9044
255,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.903
260,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9035
265,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9037
270,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9042
275,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9053
280,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9055
285,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9058
290,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9059
295,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9054
300,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9062
305,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9066
310,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9061
315,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9069
320,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9065
325,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.908
330,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9082
335,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9083
340,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9087
345,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9074
350,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.907
355,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9074
360,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9085
365,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9086
370,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9085
375,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9097
380,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9091
385,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9092
390,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9086
395,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.9091
400,ring,corr,0.1,10,0.0504081632653061,0.0734869739478957,5,0.909
