Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.1076
5,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.6077
10,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.7241
15,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.7809
20,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8168
25,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8375
30,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8428
35,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8451
40,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8428
45,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8548
50,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8465
55,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8652
60,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8618
65,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.866
70,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8711
75,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8742
80,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8732
85,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8772
90,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.875
95,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8766
100,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8804
105,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8846
110,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8844
115,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8878
120,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8796
125,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8835
130,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8778
135,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8818
140,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8801
145,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8848
150,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8838
155,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8818
160,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8869
165,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8868
170,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8887
175,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8875
180,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8837
185,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8869
190,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8866
195,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.887
200,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.893
205,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8907
210,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8887
215,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8912
220,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8918
225,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8919
230,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8904
235,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.893
240,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.894
245,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.89
250,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8937
255,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8917
260,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8878
265,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8908
270,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8885
275,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8898
280,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8879
285,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.888
290,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8891
295,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8899
300,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8924
305,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8937
310,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8904
315,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8952
320,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8928
325,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8963
330,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.895
335,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8955
340,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8939
345,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8923
350,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8945
355,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8949
360,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8906
365,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8917
370,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8922
375,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.893
380,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8909
385,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8917
390,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8935
395,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8914
400,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8948
405,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8949
410,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8937
415,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8938
420,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8943
425,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8928
430,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8916
435,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8957
440,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8924
445,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.895
450,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.895
455,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8906
460,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8921
465,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8941
470,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8955
475,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8948
480,ring,corr,1,10,0.0504081632653061,0.0734869739478957,5,0.8956
