Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.1076
5,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.1534
10,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.1652
15,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.1781
20,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.1903
25,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2046
30,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2184
35,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2366
40,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2509
45,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2682
50,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2832
55,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.2989
60,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3139
65,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3281
70,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3413
75,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3536
80,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3649
85,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3763
90,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3871
95,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.3971
100,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4093
105,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4196
110,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4288
115,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4399
120,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4482
125,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.458
130,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4668
135,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4733
140,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4801
145,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4869
150,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.4951
155,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5019
160,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.508
165,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5159
170,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.522
175,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5277
180,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5332
185,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5377
190,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5424
195,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5462
200,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5482
205,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5527
210,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5575
215,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5631
220,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5682
225,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5721
230,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5754
235,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5791
240,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5812
245,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5847
250,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5872
255,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5908
260,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5938
265,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.5959
270,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.599
275,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.6022
280,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.603
285,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.6046
290,centralized,ldp,0.1,0.1,0.0013566372108610118,0,0.1,0.6064
