Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.1076
5,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.3953
10,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.6076
15,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.6535
20,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7021
25,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.6916
30,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7099
35,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7282
40,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7393
45,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7505
50,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7299
55,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7452
60,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7537
65,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7566
70,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7692
75,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7695
80,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7774
85,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7837
90,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7778
95,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.788
100,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7882
105,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7865
110,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7901
115,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7886
120,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7923
125,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7901
130,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8017
135,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7898
140,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7878
145,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8037
150,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7964
155,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7939
160,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8024
165,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7966
170,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7955
175,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7949
180,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7823
185,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7894
190,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7988
195,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7999
200,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8062
205,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8019
210,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.81
215,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8055
220,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8123
225,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8063
230,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8118
235,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8094
240,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.814
245,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8165
250,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.813
255,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8104
260,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8132
265,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8093
270,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8067
275,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8072
280,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8033
285,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8021
290,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8002
295,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8035
300,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8019
305,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7969
310,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7954
315,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.807
320,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8089
325,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8122
330,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8082
335,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.81
340,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8107
345,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.804
350,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8041
355,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8118
360,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8085
365,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.808
370,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8081
375,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8154
380,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8079
385,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8114
390,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8038
395,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.809
400,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8142
405,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8028
410,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8044
415,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7997
420,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8005
425,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7982
430,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7984
435,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.7995
440,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8001
445,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8069
450,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8063
455,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8024
460,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.803
465,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8072
470,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8101
475,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.812
480,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8105
485,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8132
490,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8108
495,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8123
500,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8078
505,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8076
510,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8131
515,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8167
520,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8179
525,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8132
530,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8148
535,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.814
540,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8157
545,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8165
550,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8217
555,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8213
560,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8236
565,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8202
570,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.821
575,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8124
580,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8178
585,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8122
590,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8089
595,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8151
600,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8147
605,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.811
610,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8149
615,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8124
620,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8141
625,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8135
630,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8169
635,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8165
640,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8109
645,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8107
650,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8114
655,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8113
660,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8152
665,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8151
670,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8144
675,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8206
680,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8169
685,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.819
690,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8221
695,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8222
700,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8206
705,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8148
710,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.821
715,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8226
720,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8161
725,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8118
730,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8134
735,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.818
740,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8182
745,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8204
750,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8226
755,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8216
760,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8196
765,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8228
770,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8255
775,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8251
780,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8296
785,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8276
790,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.8293
795,centralized,ldp,1,10,0.13566372108610117,0,0.1,0.831
