Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.1076
5,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.5085
10,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.6521
15,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7152
20,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7419
25,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7691
30,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7664
35,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7895
40,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.788
45,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.7938
50,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8025
55,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.801
60,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8051
65,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8119
70,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8188
75,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8187
80,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8277
85,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8284
90,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8321
95,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8363
100,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8366
105,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8335
110,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8366
115,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.839
120,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8348
125,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8341
130,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8436
135,centralized,ldp,5,1.0,0.011749353712852314,0,0.5,0.8408
