Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,1,10,0.071134824778854,0,10,0.1076
5,centralized,ldp,1,10,0.071134824778854,0,10,0.5352
10,centralized,ldp,1,10,0.071134824778854,0,10,0.6737
15,centralized,ldp,1,10,0.071134824778854,0,10,0.6926
20,centralized,ldp,1,10,0.071134824778854,0,10,0.7451
25,centralized,ldp,1,10,0.071134824778854,0,10,0.7967
30,centralized,ldp,1,10,0.071134824778854,0,10,0.7844
35,centralized,ldp,1,10,0.071134824778854,0,10,0.8104
40,centralized,ldp,1,10,0.071134824778854,0,10,0.8013
45,centralized,ldp,1,10,0.071134824778854,0,10,0.7878
50,centralized,ldp,1,10,0.071134824778854,0,10,0.8169
55,centralized,ldp,1,10,0.071134824778854,0,10,0.8013
60,centralized,ldp,1,10,0.071134824778854,0,10,0.8164
65,centralized,ldp,1,10,0.071134824778854,0,10,0.8344
70,centralized,ldp,1,10,0.071134824778854,0,10,0.8234
75,centralized,ldp,1,10,0.071134824778854,0,10,0.8367
80,centralized,ldp,1,10,0.071134824778854,0,10,0.8369
85,centralized,ldp,1,10,0.071134824778854,0,10,0.8366
90,centralized,ldp,1,10,0.071134824778854,0,10,0.8408
95,centralized,ldp,1,10,0.071134824778854,0,10,0.8427
100,centralized,ldp,1,10,0.071134824778854,0,10,0.8434
105,centralized,ldp,1,10,0.071134824778854,0,10,0.8355
110,centralized,ldp,1,10,0.071134824778854,0,10,0.8346
115,centralized,ldp,1,10,0.071134824778854,0,10,0.833
120,centralized,ldp,1,10,0.071134824778854,0,10,0.8443
125,centralized,ldp,1,10,0.071134824778854,0,10,0.8451
130,centralized,ldp,1,10,0.071134824778854,0,10,0.8483
135,centralized,ldp,1,10,0.071134824778854,0,10,0.8438
140,centralized,ldp,1,10,0.071134824778854,0,10,0.8431
145,centralized,ldp,1,10,0.071134824778854,0,10,0.8475
150,centralized,ldp,1,10,0.071134824778854,0,10,0.8454
155,centralized,ldp,1,10,0.071134824778854,0,10,0.8403
160,centralized,ldp,1,10,0.071134824778854,0,10,0.8452
165,centralized,ldp,1,10,0.071134824778854,0,10,0.8413
170,centralized,ldp,1,10,0.071134824778854,0,10,0.8399
175,centralized,ldp,1,10,0.071134824778854,0,10,0.8405
