Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.1076
5,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.6183
10,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.682
15,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.7016
20,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.7261
25,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.746
30,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.758
35,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.7694
40,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.781
45,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.7855
50,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8023
55,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8095
60,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8174
65,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8207
70,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8238
75,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8336
80,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8401
85,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8495
90,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8499
95,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8547
100,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8599
105,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8606
110,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8613
115,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8651
120,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8663
125,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8656
130,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8682
135,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.87
140,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8724
145,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8732
150,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.876
155,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8774
160,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8778
165,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8791
170,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8797
175,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8819
180,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8824
185,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8837
190,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8841
195,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8834
200,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8844
205,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8865
210,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8869
215,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8867
220,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8881
225,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.888
230,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8884
235,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8896
240,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8892
245,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8905
250,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8895
255,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8896
260,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8893
265,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8907
270,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.891
275,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8918
280,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8913
285,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8917
290,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8935
295,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8932
300,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8932
305,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8938
310,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8928
315,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8938
320,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8943
325,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8948
330,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8954
335,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8952
340,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.896
345,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8961
350,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.896
355,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8957
360,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8962
365,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8964
370,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8963
375,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8974
380,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8973
385,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8972
390,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8979
395,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8974
400,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8976
405,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.898
410,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8976
415,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8974
420,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8979
425,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8981
430,centralized,ldp,5,0.1,0.0006533041342077663,0,15,0.8981
