Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.1076
5,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.7294
10,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.776
15,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8004
20,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.819
25,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.836
30,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.847
35,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8527
40,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8605
45,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8629
50,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8663
55,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8691
60,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8731
65,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8733
70,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8764
75,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8775
80,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8801
85,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8794
90,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.881
95,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8826
100,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8838
105,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8847
110,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8871
115,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.889
120,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8891
125,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8873
130,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8897
135,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.89
140,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8901
145,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8917
150,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8915
155,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8922
160,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8918
165,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8916
170,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8936
175,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8949
180,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8945
185,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8942
190,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8939
195,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8944
200,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.894
205,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8936
210,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8956
215,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8938
220,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8954
225,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8957
230,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8974
235,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.897
240,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8968
245,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8969
250,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.896
255,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8949
260,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8974
265,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8978
270,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.898
275,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8981
280,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8984
285,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8972
290,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8986
295,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9005
300,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.899
305,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8995
310,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.8998
315,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.901
320,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9016
325,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9016
330,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.901
335,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9018
340,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9021
345,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9018
350,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9034
355,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9026
360,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.902
365,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9028
370,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9022
375,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.903
380,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9016
385,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9024
390,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.903
395,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9025
400,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9038
405,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9032
410,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9047
415,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9027
420,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9019
425,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9029
430,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9034
435,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.902
440,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9017
445,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9035
450,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9035
455,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9031
460,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9046
465,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9014
470,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9038
475,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9055
480,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9036
485,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9024
490,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9046
495,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9028
500,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9042
505,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9044
510,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9062
515,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9062
520,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.906
525,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9056
530,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9044
535,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9066
540,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.905
545,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.904
550,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.905
555,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9052
560,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9044
565,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9045
570,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9033
575,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9036
580,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.904
585,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9033
590,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9034
595,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9022
600,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9011
605,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9015
610,centralized,ldp,0.1,10,0.09675896232146267,0,3,0.9028
