Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.1076
5,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.6107
10,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.6841
15,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.7178
20,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.7499
25,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.7696
30,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.7853
35,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.7943
40,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8052
45,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.813
50,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8278
55,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.838
60,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8436
65,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8449
70,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8486
75,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8545
80,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8545
85,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8606
90,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8614
95,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.867
100,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8683
105,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8704
110,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8702
115,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8749
120,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8756
125,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8752
130,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8766
135,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8785
140,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8812
145,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8818
150,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8833
155,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.885
160,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8857
165,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8871
170,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8872
175,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8879
180,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.887
185,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8872
190,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8873
195,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8893
200,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8893
205,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8882
210,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8897
215,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8901
220,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8904
225,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8913
230,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8911
235,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.892
240,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8904
245,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8915
250,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8919
255,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8906
260,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8917
265,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8933
270,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8935
275,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8939
280,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8931
285,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8936
290,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8952
295,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8947
300,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8948
305,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8949
310,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.895
315,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8967
320,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8962
325,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8966
330,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8974
335,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.897
340,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8974
345,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.897
350,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.897
355,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8985
360,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8984
365,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8989
370,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8979
375,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8985
380,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8978
385,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8981
390,centralized,ldp,0.5,1.0,0.008768728112995788,0,5,0.8994
