Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.1076
5,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.6844
10,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.7503
15,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.7765
20,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.799
25,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8142
30,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8279
35,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8371
40,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8458
45,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8476
50,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8529
55,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8559
60,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8609
65,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8615
70,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.867
75,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8679
80,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8678
85,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8713
90,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8724
95,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8731
100,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.873
105,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8784
110,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8798
115,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.881
120,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8804
125,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8804
130,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8813
135,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.883
140,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8813
145,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8832
150,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8814
155,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8824
160,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8845
165,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8846
170,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8873
175,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8838
180,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8829
185,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8848
190,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8834
195,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8857
200,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8865
205,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8859
210,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.888
215,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8868
220,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8889
225,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8881
230,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8905
235,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.889
240,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8883
245,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8892
250,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8898
255,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8871
260,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8903
265,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8907
270,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8901
275,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8908
280,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8893
285,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.89
290,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8912
295,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8906
300,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8902
305,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.891
310,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.89
315,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8928
320,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8912
325,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8922
330,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8934
335,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8929
340,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8946
345,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8951
350,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8956
355,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8947
360,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8956
365,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8945
370,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8935
375,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8952
380,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.893
385,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8944
390,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8935
395,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8942
400,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8945
405,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8919
410,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.894
415,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.894
420,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.894
425,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8934
430,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8939
435,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8937
440,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8915
445,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8936
450,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8933
455,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8934
460,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8935
465,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.892
470,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8947
475,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8954
480,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8939
485,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8956
490,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8963
495,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8944
500,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8938
505,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8954
510,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8946
515,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.896
520,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8958
525,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8967
530,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8959
535,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8954
540,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8941
545,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8943
550,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8975
555,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.897
560,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8954
565,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8947
570,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8932
575,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8936
580,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8935
585,grid,ldp,0.1,10,0.13594541711587949,0,0.1,0.8937
