Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.1076
5,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.3536
10,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.4113
15,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.453
20,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.488
25,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.5164
30,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.5426
35,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.5625
40,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.5768
45,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.5912
50,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6029
55,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6147
60,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6186
65,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6271
70,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6357
75,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6412
80,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6457
85,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6515
90,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6551
95,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6601
100,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6649
105,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6703
110,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6716
115,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6752
120,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6762
125,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6787
130,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6799
135,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6824
140,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6849
145,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6864
150,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.692
155,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.692
160,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.6972
165,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7021
170,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7016
175,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7025
180,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7025
185,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7054
190,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7086
195,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7078
200,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7085
205,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7106
210,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7118
215,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7137
220,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.715
225,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7168
230,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7185
235,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7205
240,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7233
245,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7252
250,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7237
255,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7267
260,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7266
265,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7273
270,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7301
275,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7291
280,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7287
285,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7283
290,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7297
295,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.733
300,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7346
305,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7362
310,grid,ldp,0.5,0.1,0.001359454171158795,0,0.1,0.7384
