Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.1076
5,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.4689
10,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.5229
15,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.554
20,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.5788
25,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6056
30,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6303
35,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6424
40,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6544
45,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.666
50,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6709
55,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6781
60,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6796
65,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6859
70,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6907
75,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6945
80,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.6974
85,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7013
90,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7033
95,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7075
100,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7147
105,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7181
110,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7202
115,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7234
120,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7228
125,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7241
130,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7234
135,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7266
140,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7296
145,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7323
150,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7383
155,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.742
160,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7487
165,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7532
170,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7521
175,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7529
180,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7548
185,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7575
190,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7598
195,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7604
200,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.762
205,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7689
210,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7709
215,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7722
220,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7753
225,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7784
230,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7832
235,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7862
240,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7893
245,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7921
250,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7903
255,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7938
260,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7959
265,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7945
270,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7969
275,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7981
280,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7988
285,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7981
290,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.7993
295,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8005
300,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8042
305,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8065
310,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8085
315,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8105
320,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8096
325,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8132
330,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8163
335,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.817
340,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8177
345,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8186
350,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8205
355,grid,ldp,1,0.1,0.00117941959666463,0,0.5,0.8212
