Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,1,10,0.117941959666463,0,0.5,0.1076
5,grid,ldp,1,10,0.117941959666463,0,0.5,0.4423
10,grid,ldp,1,10,0.117941959666463,0,0.5,0.6451
15,grid,ldp,1,10,0.117941959666463,0,0.5,0.683
20,grid,ldp,1,10,0.117941959666463,0,0.5,0.7336
25,grid,ldp,1,10,0.117941959666463,0,0.5,0.7277
30,grid,ldp,1,10,0.117941959666463,0,0.5,0.7408
35,grid,ldp,1,10,0.117941959666463,0,0.5,0.7619
40,grid,ldp,1,10,0.117941959666463,0,0.5,0.7709
45,grid,ldp,1,10,0.117941959666463,0,0.5,0.7744
50,grid,ldp,1,10,0.117941959666463,0,0.5,0.7672
55,grid,ldp,1,10,0.117941959666463,0,0.5,0.7707
60,grid,ldp,1,10,0.117941959666463,0,0.5,0.78
65,grid,ldp,1,10,0.117941959666463,0,0.5,0.7859
70,grid,ldp,1,10,0.117941959666463,0,0.5,0.7949
75,grid,ldp,1,10,0.117941959666463,0,0.5,0.7911
80,grid,ldp,1,10,0.117941959666463,0,0.5,0.7995
85,grid,ldp,1,10,0.117941959666463,0,0.5,0.806
90,grid,ldp,1,10,0.117941959666463,0,0.5,0.8021
95,grid,ldp,1,10,0.117941959666463,0,0.5,0.8109
100,grid,ldp,1,10,0.117941959666463,0,0.5,0.8103
105,grid,ldp,1,10,0.117941959666463,0,0.5,0.8084
110,grid,ldp,1,10,0.117941959666463,0,0.5,0.8142
115,grid,ldp,1,10,0.117941959666463,0,0.5,0.8099
120,grid,ldp,1,10,0.117941959666463,0,0.5,0.8072
125,grid,ldp,1,10,0.117941959666463,0,0.5,0.8108
130,grid,ldp,1,10,0.117941959666463,0,0.5,0.8204
135,grid,ldp,1,10,0.117941959666463,0,0.5,0.8066
140,grid,ldp,1,10,0.117941959666463,0,0.5,0.8104
145,grid,ldp,1,10,0.117941959666463,0,0.5,0.8223
150,grid,ldp,1,10,0.117941959666463,0,0.5,0.8154
155,grid,ldp,1,10,0.117941959666463,0,0.5,0.818
160,grid,ldp,1,10,0.117941959666463,0,0.5,0.8215
165,grid,ldp,1,10,0.117941959666463,0,0.5,0.8138
170,grid,ldp,1,10,0.117941959666463,0,0.5,0.8145
175,grid,ldp,1,10,0.117941959666463,0,0.5,0.8121
180,grid,ldp,1,10,0.117941959666463,0,0.5,0.8031
185,grid,ldp,1,10,0.117941959666463,0,0.5,0.81
190,grid,ldp,1,10,0.117941959666463,0,0.5,0.8135
195,grid,ldp,1,10,0.117941959666463,0,0.5,0.8164
200,grid,ldp,1,10,0.117941959666463,0,0.5,0.8242
205,grid,ldp,1,10,0.117941959666463,0,0.5,0.8247
210,grid,ldp,1,10,0.117941959666463,0,0.5,0.828
215,grid,ldp,1,10,0.117941959666463,0,0.5,0.8242
220,grid,ldp,1,10,0.117941959666463,0,0.5,0.8275
225,grid,ldp,1,10,0.117941959666463,0,0.5,0.8226
230,grid,ldp,1,10,0.117941959666463,0,0.5,0.8262
235,grid,ldp,1,10,0.117941959666463,0,0.5,0.8252
240,grid,ldp,1,10,0.117941959666463,0,0.5,0.8291
245,grid,ldp,1,10,0.117941959666463,0,0.5,0.8284
250,grid,ldp,1,10,0.117941959666463,0,0.5,0.8308
255,grid,ldp,1,10,0.117941959666463,0,0.5,0.8299
260,grid,ldp,1,10,0.117941959666463,0,0.5,0.8287
265,grid,ldp,1,10,0.117941959666463,0,0.5,0.8258
270,grid,ldp,1,10,0.117941959666463,0,0.5,0.8225
275,grid,ldp,1,10,0.117941959666463,0,0.5,0.8236
280,grid,ldp,1,10,0.117941959666463,0,0.5,0.8205
285,grid,ldp,1,10,0.117941959666463,0,0.5,0.8219
290,grid,ldp,1,10,0.117941959666463,0,0.5,0.8178
295,grid,ldp,1,10,0.117941959666463,0,0.5,0.8222
300,grid,ldp,1,10,0.117941959666463,0,0.5,0.82
305,grid,ldp,1,10,0.117941959666463,0,0.5,0.8188
