,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.00117941959666463,0,3000,0.7297205128205129
1,grid,0.05,1.0,0.011794195966646302,0,3000,0.8960153846153847
2,grid,0.05,10.0,0.117941959666463,0,3000,0.9098615384615385
3,grid,0.1,0.1,0.00117941959666463,0,3000,0.8017564102564102
4,grid,0.1,1.0,0.011794195966646302,0,3000,0.9045025641025642
5,grid,0.1,10.0,0.117941959666463,0,3000,0.8958051282051281
6,grid,0.5,0.1,0.00117941959666463,0,3000,0.8931615384615383
7,grid,0.5,1.0,0.011794195966646302,0,3000,0.9128179487179489
8,grid,0.5,10.0,0.117941959666463,0,3000,0.8470333333333334
9,grid,1.0,0.1,0.00117941959666463,0,3000,0.9029641025641026
10,grid,1.0,1.0,0.011794195966646302,0,3000,0.9053128205128206
11,grid,1.0,10.0,0.117941959666463,0,3000,0.8402538461538461
12,grid,5.0,0.1,0.00117941959666463,0,3000,0.914028205128205
13,grid,5.0,1.0,0.011794195966646302,0,3000,0.850428205128205
14,grid,5.0,10.0,0.117941959666463,0,3000,0.8356102564102564
