Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.1076
5,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.3572
10,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.4141
15,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.4572
20,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.4904
25,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.5182
30,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.5452
35,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.5645
40,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.579
45,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.5953
50,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6063
55,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6174
60,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6218
65,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6279
70,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6385
75,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6443
80,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6475
85,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6528
90,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6563
95,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6604
100,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6667
105,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6703
110,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6722
115,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6757
120,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.676
125,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6795
130,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6802
135,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6831
140,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.685
145,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6872
150,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6912
155,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6927
160,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.6974
165,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7025
170,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.702
175,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7025
180,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7033
185,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7074
190,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.71
195,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7105
200,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7115
205,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7146
210,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7157
215,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7182
220,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7213
225,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7234
230,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7282
235,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7313
240,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7353
245,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7395
250,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7406
255,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7427
260,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7447
265,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7473
270,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7497
275,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7498
280,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7511
285,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7519
290,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7534
295,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7561
300,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7598
305,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7621
310,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7628
315,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7658
320,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7668
325,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.769
330,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7718
335,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7733
340,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7738
345,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7762
350,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7773
355,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7785
360,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7815
365,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7832
370,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7829
375,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7841
380,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7877
385,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7896
390,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7913
395,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7924
400,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.793
405,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7952
410,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7959
415,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.7975
420,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8005
425,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.802
430,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8023
435,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8015
440,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8027
445,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8025
450,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8025
455,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8039
460,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.805
465,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8071
470,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8097
475,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8111
480,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8109
485,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8121
490,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8135
495,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8144
500,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8159
505,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8173
510,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8178
515,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8186
520,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8201
525,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8209
530,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8216
535,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.823
540,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.825
545,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8267
550,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8277
555,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8287
560,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8291
565,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8304
570,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8305
575,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8317
580,grid,ldp,0.05,1.0,0.01099817467901853,0,1,0.8327
