Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.05,10,0.10998174679018528,0,1,0.1076
5,grid,ldp,0.05,10,0.10998174679018528,0,1,0.6463
10,grid,ldp,0.05,10,0.10998174679018528,0,1,0.73
15,grid,ldp,0.05,10,0.10998174679018528,0,1,0.7624
20,grid,ldp,0.05,10,0.10998174679018528,0,1,0.7841
25,grid,ldp,0.05,10,0.10998174679018528,0,1,0.7999
30,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8175
35,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8245
40,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8377
45,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8406
50,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8453
55,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8523
60,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8561
65,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8592
70,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8603
75,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8661
80,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8652
85,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8704
90,grid,ldp,0.05,10,0.10998174679018528,0,1,0.872
95,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8768
100,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8759
105,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8761
110,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8777
115,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8793
120,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8796
125,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8796
130,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8801
135,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8823
140,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8829
145,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8837
150,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8854
155,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8869
160,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8872
165,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8888
170,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8885
175,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8881
180,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8871
185,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8873
190,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8879
195,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8889
200,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8898
205,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8891
210,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8905
215,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8898
220,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8897
225,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8907
230,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8912
235,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8913
240,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8921
245,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8926
250,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8914
255,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8925
260,grid,ldp,0.05,10,0.10998174679018528,0,1,0.892
265,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8934
270,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8928
275,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8945
280,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8935
285,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8935
290,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8945
295,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8957
300,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8942
305,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8939
310,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8942
315,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8947
320,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8954
325,grid,ldp,0.05,10,0.10998174679018528,0,1,0.897
330,grid,ldp,0.05,10,0.10998174679018528,0,1,0.897
335,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8977
340,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8978
345,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8969
350,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8985
355,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8978
360,grid,ldp,0.05,10,0.10998174679018528,0,1,0.899
365,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8988
370,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8992
375,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8996
380,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8996
385,grid,ldp,0.05,10,0.10998174679018528,0,1,0.8989
