Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.1076
5,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.5999
10,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.6745
15,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.6993
20,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.7228
25,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.7414
30,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.7574
35,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.767
40,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.778
45,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.7817
50,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.7987
55,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.807
60,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8142
65,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8153
70,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8201
75,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8304
80,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.835
85,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8445
90,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8456
95,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8531
100,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8568
105,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8575
110,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8586
115,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8615
120,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8645
125,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8636
130,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.866
135,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8668
140,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8703
145,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8716
150,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8725
155,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8749
160,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.877
165,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8767
170,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8784
175,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8802
180,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8813
185,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8826
190,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8815
195,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8824
200,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8841
205,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8831
210,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8851
215,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.885
220,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8858
225,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8855
230,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.886
235,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.886
240,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8861
245,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8871
250,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8871
255,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8863
260,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8871
265,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8895
270,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.889
275,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8903
280,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8892
285,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8896
290,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8916
295,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8915
300,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8909
305,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8914
310,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.892
315,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8923
320,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8921
325,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8931
330,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8936
335,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8936
340,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8944
345,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8932
350,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8935
355,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8931
360,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8949
365,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8946
370,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8944
375,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8956
380,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8961
385,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8956
390,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8957
395,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8952
400,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8955
405,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8946
410,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8963
415,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8954
420,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8961
425,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8967
430,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8958
435,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8982
440,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8983
445,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8992
450,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8977
455,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.898
460,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8987
465,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8978
470,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8988
475,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8997
480,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9002
485,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8995
490,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8995
495,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8992
500,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8994
505,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9001
510,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9
515,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8997
520,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.8997
525,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9003
530,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9008
535,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9017
540,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9011
545,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.901
550,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9011
555,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9021
560,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9001
565,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9016
570,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
575,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9015
580,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9022
585,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.902
590,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9013
595,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
600,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9011
605,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9014
610,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9013
615,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9012
620,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9028
625,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9021
630,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9016
635,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9025
640,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
645,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9015
650,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9007
655,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9016
660,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9021
665,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9035
670,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
675,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
680,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9017
685,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9012
690,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9026
695,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9019
700,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9006
705,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.902
710,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9023
715,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9021
720,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9017
725,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9026
730,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9028
735,grid,ldp,5,0.1,0.0010998174679018528,0,1,0.9025
