Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,10,0.06399195328153057,0,15,0.1076
5,grid,ldp,5,10,0.06399195328153057,0,15,0.5193
10,grid,ldp,5,10,0.06399195328153057,0,15,0.6773
15,grid,ldp,5,10,0.06399195328153057,0,15,0.6981
20,grid,ldp,5,10,0.06399195328153057,0,15,0.7579
25,grid,ldp,5,10,0.06399195328153057,0,15,0.8005
30,grid,ldp,5,10,0.06399195328153057,0,15,0.7824
35,grid,ldp,5,10,0.06399195328153057,0,15,0.8135
40,grid,ldp,5,10,0.06399195328153057,0,15,0.8173
45,grid,ldp,5,10,0.06399195328153057,0,15,0.822
50,grid,ldp,5,10,0.06399195328153057,0,15,0.8005
55,grid,ldp,5,10,0.06399195328153057,0,15,0.8202
60,grid,ldp,5,10,0.06399195328153057,0,15,0.8253
65,grid,ldp,5,10,0.06399195328153057,0,15,0.8294
70,grid,ldp,5,10,0.06399195328153057,0,15,0.8363
75,grid,ldp,5,10,0.06399195328153057,0,15,0.8346
80,grid,ldp,5,10,0.06399195328153057,0,15,0.8382
85,grid,ldp,5,10,0.06399195328153057,0,15,0.8429
90,grid,ldp,5,10,0.06399195328153057,0,15,0.8392
95,grid,ldp,5,10,0.06399195328153057,0,15,0.8443
100,grid,ldp,5,10,0.06399195328153057,0,15,0.846
105,grid,ldp,5,10,0.06399195328153057,0,15,0.8399
110,grid,ldp,5,10,0.06399195328153057,0,15,0.8459
115,grid,ldp,5,10,0.06399195328153057,0,15,0.8436
120,grid,ldp,5,10,0.06399195328153057,0,15,0.8447
125,grid,ldp,5,10,0.06399195328153057,0,15,0.8468
130,grid,ldp,5,10,0.06399195328153057,0,15,0.8451
135,grid,ldp,5,10,0.06399195328153057,0,15,0.8362
140,grid,ldp,5,10,0.06399195328153057,0,15,0.8395
145,grid,ldp,5,10,0.06399195328153057,0,15,0.8441
150,grid,ldp,5,10,0.06399195328153057,0,15,0.8466
155,grid,ldp,5,10,0.06399195328153057,0,15,0.8427
160,grid,ldp,5,10,0.06399195328153057,0,15,0.8489
165,grid,ldp,5,10,0.06399195328153057,0,15,0.8432
170,grid,ldp,5,10,0.06399195328153057,0,15,0.8477
175,grid,ldp,5,10,0.06399195328153057,0,15,0.8464
180,grid,ldp,5,10,0.06399195328153057,0,15,0.8448
185,grid,ldp,5,10,0.06399195328153057,0,15,0.8356
190,grid,ldp,5,10,0.06399195328153057,0,15,0.8475
195,grid,ldp,5,10,0.06399195328153057,0,15,0.8435
200,grid,ldp,5,10,0.06399195328153057,0,15,0.8566
205,grid,ldp,5,10,0.06399195328153057,0,15,0.8535
210,grid,ldp,5,10,0.06399195328153057,0,15,0.852
215,grid,ldp,5,10,0.06399195328153057,0,15,0.8537
220,grid,ldp,5,10,0.06399195328153057,0,15,0.8568
225,grid,ldp,5,10,0.06399195328153057,0,15,0.8445
230,grid,ldp,5,10,0.06399195328153057,0,15,0.8547
235,grid,ldp,5,10,0.06399195328153057,0,15,0.8549
240,grid,ldp,5,10,0.06399195328153057,0,15,0.8598
245,grid,ldp,5,10,0.06399195328153057,0,15,0.856
250,grid,ldp,5,10,0.06399195328153057,0,15,0.8527
255,grid,ldp,5,10,0.06399195328153057,0,15,0.8546
260,grid,ldp,5,10,0.06399195328153057,0,15,0.8487
265,grid,ldp,5,10,0.06399195328153057,0,15,0.847
270,grid,ldp,5,10,0.06399195328153057,0,15,0.847
275,grid,ldp,5,10,0.06399195328153057,0,15,0.8498
280,grid,ldp,5,10,0.06399195328153057,0,15,0.8417
285,grid,ldp,5,10,0.06399195328153057,0,15,0.8468
290,grid,ldp,5,10,0.06399195328153057,0,15,0.8449
295,grid,ldp,5,10,0.06399195328153057,0,15,0.8472
300,grid,ldp,5,10,0.06399195328153057,0,15,0.8472
305,grid,ldp,5,10,0.06399195328153057,0,15,0.8418
310,grid,ldp,5,10,0.06399195328153057,0,15,0.8468
315,grid,ldp,5,10,0.06399195328153057,0,15,0.8574
320,grid,ldp,5,10,0.06399195328153057,0,15,0.855
325,grid,ldp,5,10,0.06399195328153057,0,15,0.8538
330,grid,ldp,5,10,0.06399195328153057,0,15,0.8487
335,grid,ldp,5,10,0.06399195328153057,0,15,0.8497
340,grid,ldp,5,10,0.06399195328153057,0,15,0.8524
345,grid,ldp,5,10,0.06399195328153057,0,15,0.8506
350,grid,ldp,5,10,0.06399195328153057,0,15,0.8468
355,grid,ldp,5,10,0.06399195328153057,0,15,0.853
360,grid,ldp,5,10,0.06399195328153057,0,15,0.8551
365,grid,ldp,5,10,0.06399195328153057,0,15,0.8529
