Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.1076
5,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.5896
10,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.6729
15,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7109
20,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7433
25,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7631
30,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7786
35,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7864
40,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.7994
45,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8056
50,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8202
55,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8282
60,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8351
65,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8387
70,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8427
75,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8481
80,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8488
85,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8552
90,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.857
95,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8627
100,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8636
105,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8655
110,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8667
115,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.871
120,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8716
125,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8712
130,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8731
135,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8742
140,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8777
145,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8779
150,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8784
155,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8808
160,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8818
165,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8825
170,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8828
175,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8831
180,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8849
185,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8843
190,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8844
195,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8854
200,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8866
205,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8854
210,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8871
215,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8868
220,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8875
225,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8877
230,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8873
235,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8872
240,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8873
245,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8878
250,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8883
255,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8883
260,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8891
265,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.89
270,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8907
275,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8915
280,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.89
285,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.891
290,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8915
295,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8933
300,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.892
305,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8924
310,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8933
315,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8934
320,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8924
325,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8946
330,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8957
335,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8949
340,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.895
345,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8942
350,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8948
355,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8945
360,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8961
365,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8965
370,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.896
375,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8965
380,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8959
385,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8966
390,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8974
395,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8969
400,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8975
405,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8967
410,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8973
415,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8969
420,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8972
425,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8971
430,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8971
435,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8983
440,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8988
445,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8994
450,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8978
455,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8985
460,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8987
465,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.897
470,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8989
475,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8998
480,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8989
485,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
490,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
495,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8997
500,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
505,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8998
510,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
515,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
520,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9008
525,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9013
530,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9
535,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9002
540,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9007
545,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9005
550,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9005
555,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9017
560,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9008
565,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
570,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8994
575,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9001
580,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
585,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9013
590,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9005
595,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9009
600,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
605,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9003
610,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9
615,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9013
620,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.901
625,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
630,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.901
635,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9002
640,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
645,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8994
650,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8996
655,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8995
660,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8995
665,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9009
670,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9002
675,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
680,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8992
685,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8996
690,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
695,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
700,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9
705,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9004
710,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9002
715,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9001
720,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9003
725,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
730,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9005
735,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.8999
740,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.901
745,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9011
750,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.901
755,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9014
760,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9011
765,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9018
770,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9025
775,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9014
780,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9014
785,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9021
790,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9006
795,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9019
800,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.902
805,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9011
810,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.902
815,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9019
820,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9015
825,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9024
830,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9023
835,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9018
840,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9016
845,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9017
850,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9015
855,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.902
860,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9023
865,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9023
870,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.903
875,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9022
880,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9024
885,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9034
890,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9041
895,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9047
900,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9044
905,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9029
910,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9033
915,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.903
920,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9026
925,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9047
930,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9037
935,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9051
940,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9039
945,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9033
950,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9038
955,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9035
960,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9035
965,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9031
970,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9028
975,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9028
980,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9031
985,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9039
990,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9041
995,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9033
1000,ring,ldp,0.5,1.0,0.013180694180849913,0,0.1,0.9036
