Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.05,10,0.11044277232518016,0,1,0.1076
5,ring,ldp,0.05,10,0.11044277232518016,0,1,0.6455
10,ring,ldp,0.05,10,0.11044277232518016,0,1,0.73
15,ring,ldp,0.05,10,0.11044277232518016,0,1,0.761
20,ring,ldp,0.05,10,0.11044277232518016,0,1,0.7841
25,ring,ldp,0.05,10,0.11044277232518016,0,1,0.7996
30,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8169
35,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8228
40,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8364
45,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8397
50,ring,ldp,0.05,10,0.11044277232518016,0,1,0.844
55,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8514
60,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8559
65,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8589
70,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8599
75,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8647
80,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8642
85,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8692
90,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8712
95,ring,ldp,0.05,10,0.11044277232518016,0,1,0.876
100,ring,ldp,0.05,10,0.11044277232518016,0,1,0.876
105,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8762
110,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8773
115,ring,ldp,0.05,10,0.11044277232518016,0,1,0.879
120,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8796
125,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8793
130,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8801
135,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8817
140,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8831
145,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8839
150,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8845
155,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8861
160,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8867
165,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8882
170,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8879
175,ring,ldp,0.05,10,0.11044277232518016,0,1,0.888
180,ring,ldp,0.05,10,0.11044277232518016,0,1,0.887
185,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8872
190,ring,ldp,0.05,10,0.11044277232518016,0,1,0.888
195,ring,ldp,0.05,10,0.11044277232518016,0,1,0.889
200,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8898
205,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8885
210,ring,ldp,0.05,10,0.11044277232518016,0,1,0.89
215,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8893
220,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8887
225,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8903
230,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8912
235,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8915
240,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8917
245,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8925
250,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8916
255,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8917
260,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8916
265,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8929
270,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8931
275,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8942
280,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8932
285,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8934
290,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8949
295,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8958
300,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8942
305,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8937
310,ring,ldp,0.05,10,0.11044277232518016,0,1,0.894
315,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8946
320,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8954
325,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8969
330,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8971
335,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8978
340,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8982
345,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8966
350,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8982
355,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8982
360,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8989
365,ring,ldp,0.05,10,0.11044277232518016,0,1,0.899
370,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8988
375,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8997
380,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8991
385,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8996
390,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8987
395,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8983
400,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8984
405,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8978
410,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8982
415,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8972
420,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8978
425,ring,ldp,0.05,10,0.11044277232518016,0,1,0.899
430,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8985
435,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8986
440,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8989
445,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8995
450,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8995
455,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8984
460,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8995
465,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8986
470,ring,ldp,0.05,10,0.11044277232518016,0,1,0.8999
475,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9006
480,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9008
485,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9016
490,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9013
495,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9005
500,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9002
505,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9006
510,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9015
515,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9019
520,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9021
525,ring,ldp,0.05,10,0.11044277232518016,0,1,0.9033
