,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0007374663778185513,0,1000,0.6657
1,ring,0.05,1.0,0.0073746637781855135,0,1000,0.8674
2,ring,0.05,10.0,0.07374663778185514,0,1000,0.9089
3,ring,0.1,0.1,0.0007374663778185513,0,1000,0.7087
4,ring,0.1,1.0,0.0073746637781855135,0,1000,0.8898
5,ring,0.1,10.0,0.07374663778185514,0,1000,0.9132
6,ring,0.5,0.1,0.0007374663778185513,0,1000,0.8541
7,ring,0.5,1.0,0.0073746637781855135,0,1000,0.9085
8,ring,0.5,10.0,0.07374663778185514,0,1000,0.8827
9,ring,1.0,0.1,0.0007374663778185513,0,1000,0.885
10,ring,1.0,1.0,0.0073746637781855135,0,1000,0.9136
11,ring,1.0,10.0,0.07374663778185514,0,1000,0.8701
12,ring,5.0,0.1,0.0007374663778185513,0,1000,0.9076
13,ring,5.0,1.0,0.0073746637781855135,0,1000,0.8903
14,ring,5.0,10.0,0.07374663778185514,0,1000,0.8645
