Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.1076
5,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.4885
10,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.5345
15,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.5616
20,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.5871
25,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6108
30,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6328
35,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6461
40,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6582
45,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6687
50,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6744
55,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6808
60,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6818
65,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6861
70,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.692
75,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6973
80,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.6992
85,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7029
90,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7041
95,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7077
100,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.716
105,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7186
110,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7215
115,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7227
120,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7217
125,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7239
130,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7235
135,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7273
140,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7305
145,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7318
150,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7376
155,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7419
160,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7492
165,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7516
170,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7519
175,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7518
180,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7547
185,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7578
190,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7613
195,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7602
200,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7618
205,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7672
210,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7699
215,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7714
220,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7745
225,ring,ldp,1,0.1,0.0006588543618072275,0,15,0.7776
