Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.1076
5,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.6055
10,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.6808
15,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.7154
20,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.7481
25,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.7668
30,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.7839
35,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.7915
40,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8025
45,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.81
50,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8247
55,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8346
60,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.842
65,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8436
70,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8457
75,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8533
80,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.853
85,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8588
90,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8601
95,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8651
100,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8666
105,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8692
110,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8692
115,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8741
120,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8743
125,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8741
130,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8755
135,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8772
140,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8795
145,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8812
150,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8821
155,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8828
160,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8851
165,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8856
170,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8861
175,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8868
180,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8869
185,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8865
190,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8868
195,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8885
200,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8891
205,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8875
210,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8892
215,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8899
220,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8904
225,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8911
230,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8903
235,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8911
240,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8893
245,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8905
250,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8907
255,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8905
260,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8912
265,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8925
270,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.893
275,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8929
280,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8926
285,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8926
290,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8935
295,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8949
300,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8941
305,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.894
310,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8951
315,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8952
320,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8958
325,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8963
330,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8966
335,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8964
340,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8969
345,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8961
350,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8967
355,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.897
360,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8981
365,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8983
370,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8981
375,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8977
380,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8981
385,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8971
390,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8992
395,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8995
400,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8992
405,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8981
410,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8999
415,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8996
420,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8987
425,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8998
430,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.8992
435,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.901
440,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9009
445,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9019
450,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9012
455,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9012
460,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9015
465,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9007
470,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9024
475,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9019
480,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9016
485,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9022
490,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9032
495,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9023
500,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9027
505,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9031
510,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9018
515,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.902
520,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9025
525,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9034
530,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9041
535,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9042
540,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9034
545,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.904
550,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9038
555,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9037
560,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9028
565,ring,ldp,0.5,1.0,0.009645953393959157,0,3,0.9036
