,topology,lr,clip,sigma,sigma-cor,T,loss,sigma_cor
0,grid,0.01,0.01,0.0673801018555817,,500,0.31230807860993826,0.3004
1,grid,0.01,0.01,0.1723375682075455,,500,0.40442110477941284,0.1002
2,grid,0.01,0.01,0.2500838395793705,,500,0.3619125640718448,0.0001
3,grid,0.01,0.01,0.09528985387824421,,1000,1.3227107424873643,0.5005999999999999
4,grid,0.01,0.01,0.29319955039459755,,1000,0.34216524869649,0.1002
5,grid,0.01,0.01,0.35367195766348325,,1000,0.4038547610224532,0.0001
6,grid,0.01,0.01,0.1347602037111634,,2000,7.4084552128578025,0.7008
7,grid,0.01,0.01,0.4379706620612811,,2000,0.6331203029745726,0.1002
8,grid,0.01,0.01,0.500167679158741,,2000,0.3004432902743521,0.0001
9,grid,0.01,0.05,0.33690050927790854,,500,3.636960863464099,1.902
10,grid,0.01,0.05,0.8228147053518151,,500,0.5398226280033415,0.5005999999999999
11,grid,0.01,0.05,1.2504191978968529,,500,0.3504798007140404,0.1002
12,grid,0.01,0.05,0.47644926939122106,,1000,20.15365098317569,2.3024
13,grid,0.01,0.05,1.1086607999295721,,1000,3.9696684312669195,0.7008
14,grid,0.01,0.05,1.7683597883174167,,1000,0.36393437963386976,0.1002
15,grid,0.01,0.05,0.6738010185558171,,2000,43.2353621087466,3.1032
16,grid,0.01,0.05,1.5678831393318051,,2000,6.641933981873826,1.1012
17,grid,0.01,0.05,2.4619652601077933,,2000,0.8363663454549283,0.3004
18,grid,0.01,0.1,0.6738010185558171,,500,6.928163163701928,3.8039
19,grid,0.01,0.1,1.5678831393318051,,500,1.3117982380390139,1.1012
20,grid,0.01,0.1,2.4619652601077933,,500,0.5184602467947967,0.3004
21,grid,0.01,0.1,0.9528985387824421,,1000,32.46718530931419,4.604699999999999
22,grid,0.01,0.1,2.3272714312571186,,1000,11.807368913156507,1.5015999999999998
23,grid,0.01,0.1,3.5367195766348334,,1000,0.8428204822343491,0.3004
24,grid,0.01,0.1,1.3476020371116342,,2000,55.413403087789646,6.2063
25,grid,0.01,0.1,3.058020007291785,,2000,11.793817532333613,2.3024
26,grid,0.01,0.1,5.001676791587411,,2000,1.8082347795856197,0.3004
27,grid,0.01,0.5,3.3690050927790853,,500,48.06678479918629,18.718799999999998
28,grid,0.01,0.5,8.422512731947712,,500,11.708444209523543,5.205299999999999
29,grid,0.01,0.5,12.504191978968528,,500,1.1756923782505369,0.7008
30,grid,0.01,0.5,4.76449269391221,,1000,42.314837090648524,25.0251
31,grid,0.01,0.5,11.361482577790655,,1000,28.527624180384755,7.7078
32,grid,0.01,0.5,17.683597883174166,,1000,3.2967648805333614,1.5015999999999998
