,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,ring,0.005,0.001,0.0,0.014253483084834593,0.10011009009009009,2000,0.2652249737885659
1,ring,0.005,0.001,0.0,0.047684379774719364,1e-05,2000,0.311641145594328
2,ring,0.005,0.001,0.0,0.050016767915874116,1e-05,2000,0.3918619074941687
3,ring,0.005,0.005,0.0,0.0673801018555817,0.7007106306306305,2000,1.8382483568621213
4,ring,0.005,0.005,0.0,0.20343607675627554,0.10011009009009009,2000,0.693140264442825
5,ring,0.005,0.005,0.0,0.2500838395793705,1e-05,2000,0.3163527456279187
6,ring,0.005,0.01,0.0,0.1347602037111634,1.5015113513513514,2000,11.038659892478691
7,ring,0.005,0.01,0.0,0.3369005092779085,0.3003102702702703,2000,0.5141374319580687
8,ring,0.005,0.01,0.0,0.500167679158741,1e-05,2000,0.3645380090192837
9,ring,0.005,0.05,0.0,0.6738010185558171,6.206215585585586,2000,23.780602593347233
10,ring,0.005,0.05,0.0,1.5290100036458925,1.9019117117117117,2000,53.70832546912564
11,ring,0.005,0.05,0.0,2.5008383957937057,0.3003102702702703,2000,0.9784571829146184
12,ring,0.005,0.1,0.0,1.3476020371116342,12.512521261261261,2000,32.52256530506306
13,ring,0.005,0.1,0.0,3.058020007291785,3.8038134234234233,2000,46.26775989251399
14,ring,0.005,0.1,0.0,4.9239305202155865,0.7007106306306305,2000,1.0607162367985428
15,ring,0.005,0.5,0.0,6.738010185558171,75.07507756756758,2000,29.032922018356775
16,ring,0.005,0.5,0.0,15.67883139331805,18.718726846846845,2000,28.209312104051396
17,ring,0.005,0.5,0.0,25.008383957937056,3.103112792792793,2000,8.527680515208852
18,ring,0.01,0.001,0.0,0.014253483084834593,0.10011009009009009,2000,0.337346026850858
19,ring,0.01,0.001,0.0,0.047684379774719364,1e-05,2000,0.3551589194169986
20,ring,0.01,0.001,0.0,0.050016767915874116,1e-05,2000,0.3682103270631527
21,ring,0.01,0.005,0.0,0.0673801018555817,0.7007106306306305,2000,30.709361096467656
22,ring,0.01,0.005,0.0,0.20343607675627554,0.10011009009009009,2000,0.4118763596733048
23,ring,0.01,0.005,0.0,0.2500838395793705,1e-05,2000,0.2903298623192039
24,ring,0.01,0.01,0.0,0.1347602037111634,1.5015113513513514,2000,10.686488408466223
25,ring,0.01,0.01,0.0,0.3369005092779085,0.3003102702702703,2000,1.379008963019095
26,ring,0.01,0.01,0.0,0.500167679158741,1e-05,2000,0.2696949010581262
